PROPERTY_NUM,TRANSACTION_AMOUNT,YEAR_BUILT,ADDRESS,REGISTRATION_DATE,ROAD_NAME,APARTMENT_NAME,SQUARE_FOOTAGE,FLOOR_NUMBER
145,1000000000,2000,서울특별시 성동구  행당동 346 ,2024-07-03,행당로,행당한진타운,59.96,23

146,1039000000,2000,서울특별시 성동구  행당동 346 ,2024-07-03,행당로,행당한진타운,59.96,13

147,995000000,1997,서울특별시 성동구  행당동 345 ,2024-07-03,고산자로14길,두산,84.87,8

148,1300000000,2000,서울특별시 성동구  행당동 347 ,2024-07-03,행당로,대림e-편한세상,84.87,11

149,1625000000,2014,서울특별시 성동구  행당동 377 ,2024-07-09,왕십리로,서울숲더샵,84.18,11

150,1055000000,2005,서울특별시 성동구  행당동 364 ,2024-07-12,행당로,행당브라운스톤,59.27,14

151,1850000000,2018,서울특별시 성동구  행당동 380 ,2024-07-12,고산자로2길,서울숲리버뷰자이,84.9,3

152,1260000000,2000,서울특별시 성동구  행당동 347 ,2024-07-13,행당로,대림e-편한세상,84.87,12

153,1050000000,1989,서울특별시 성동구  응봉동 97 ,2024-07-04,독서당로,대림(2차),84.53,13

154,1020000000,1990,서울특별시 성동구  응봉동 98 ,2024-07-05,독서당로,금호현대,79.8,5

155,1150000000,2001,서울특별시 성동구  응봉동 15 ,2024-07-05,고산자로,대림강변타운,59.76,9

156,935000000,2001,서울특별시 성동구  금호동1가 633 ,2024-07-03,금호로,벽산,59.9,20

157,1418000000,2019,서울특별시 성동구  금호동1가 1823 ,2024-07-06,금호로,이편한세상금호파크힐스,59.95,2

158,1550000000,2012,서울특별시 성동구  금호동2가 1217 ,2024-07-05,금호로,래미안하이리버,84.99,19

159,1500000000,2012,서울특별시 성동구  금호동2가 1217 ,2024-07-06,금호로,래미안하이리버,84.99,11

160,1330000000,2012,서울특별시 성동구  금호동2가 1217 ,2024-07-08,금호로,래미안하이리버,59.98,7

161,1040000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-02,동호로,두산,84.99,12

162,1070000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-03,동호로,두산,79.08,15

163,1145000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-03,동호로,두산,79.08,8

164,940000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-04,동호로,두산,59.97,9

165,1250000000,2012,서울특별시 성동구  금호동3가 700 ,2024-07-04,금호산8길,금호자이2차,84.98,3

166,905000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-06,동호로,두산,59.97,11

167,1300000000,2012,서울특별시 성동구  금호동3가 700 ,2024-07-06,금호산8길,금호자이2차,84.73,5

168,650000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-10,동호로,두산,79.08,4

169,1090000000,1994,서울특별시 성동구  금호동3가 1331 ,2024-07-13,동호로,두산,84.99,8

170,1160000000,2012,서울특별시 성동구  금호동3가 700 ,2024-07-13,금호산8길,금호자이2차,59.92,11

171,1920000000,2012,서울특별시 성동구  금호동4가 235 ,2024-07-06,금호로,서울숲2차푸르지오,84.9,12

172,1920000000,2012,서울특별시 성동구  금호동4가 235 ,2024-07-06,금호로,서울숲2차푸르지오,84.9,12

173,1940000000,2012,서울특별시 성동구  옥수동 561 ,2024-07-01,매봉길,래미안 옥수 리버젠,84.73,13

174,1500000000,1986,서울특별시 성동구  옥수동 428 ,2024-07-02,독서당로,극동,148.23,1

175,1650000000,2016,서울특별시 성동구  옥수동 528 ,2024-07-03,매봉길,옥수파크힐스101동~116동,59.78,4

176,1600000000,2012,서울특별시 성동구  옥수동 561 ,2024-07-05,매봉길,래미안 옥수 리버젠,59.25,17

177,1280000000,1999,서울특별시 성동구  옥수동 250 ,2024-07-06,독서당로,옥수삼성,59.7,19

178,1750000000,2016,서울특별시 성동구  옥수동 528 ,2024-07-06,매봉길,옥수파크힐스101동~116동,84.64,1

179,1500000000,2012,서울특별시 성동구  옥수동 561 ,2024-07-06,매봉길,래미안 옥수 리버젠,59.25,10

180,1710000000,1999,서울특별시 성동구  옥수동 250 ,2024-07-06,독서당로,옥수삼성,84.82,16

181,1870000000,2012,서울특별시 성동구  옥수동 561 ,2024-07-12,매봉길,래미안 옥수 리버젠,84.81,4

182,2500000000,1998,서울특별시 성동구  옥수동 100 ,2024-07-16,한림말길,옥수하이츠,114.78,13

183,980000000,1999,서울특별시 성동구  성수동1가 708 ,2024-07-01,상원길,동아그린,58.32,9

184,1250000000,1999,서울특별시 성동구  성수동1가 709 ,2024-07-05,상원6길,대우2,84.97,8

185,1490000000,2003,서울특별시 성동구  성수동2가 835 ,2024-07-05,성수일로8길,롯데캐슬파크,81.57,24

186,2395000000,2000,서울특별시 성동구  성수동2가 609-2 ,2024-07-16,둘레19길,강변임광,84.77,7

187,1200000000,2021,서울특별시 동대문구  용두동 795 ,2024-07-04,무학로,이편한세상청계센트럴포레,84.95,17

188,790000000,1994,서울특별시 동대문구  용두동 779 ,2024-07-05,무학로26길,신동아,84.63,8

189,720000000,2004,서울특별시 동대문구  용두동 236-1 ,2024-07-06,왕산로,신설동역대우아이빌1,69.48,8

190,1435000000,2021,서울특별시 동대문구  용두동 795 ,2024-07-10,무학로,이편한세상청계센트럴포레,84.93,14

191,595000000,1994,서울특별시 동대문구  용두동 779 ,2024-07-13,무학로26길,신동아,49.68,12

192,440000000,2016,서울특별시 동대문구  용두동 104-3 ,2024-07-17,왕산로,동대문푸르지오시티(도시형생활주택),30.11,24

193,194200000,2019,서울특별시 동대문구  용두동 255-49 ,2024-07-18,청계천로,청계한양아이클래스,14.22,19

194,830000000,2005,서울특별시 동대문구  제기동 252 ,2024-07-02,왕산로23길,이수브라운스톤,84.9,4

195,685000000,2004,서울특별시 동대문구  제기동 1212 ,2024-07-08,고산자로,한신아파트,59.84,9

196,500000000,2004,서울특별시 동대문구  제기동 1212 ,2024-07-12,고산자로,한신아파트,59.84,20

197,870000000,2000,서울특별시 동대문구  전농동 10 ,2024-07-01,사가정로,전농SK,84.95,16

198,1020000000,2012,서울특별시 동대문구  전농동 688 ,2024-07-01,전농로16길,래미안아름숲,84.96,2

199,960000000,2005,서울특별시 동대문구  전농동 687 ,2024-07-01,서울시립대로,전농동신성미소지움,80.33,5

200,1200000000,2014,서울특별시 동대문구  전농동 690 ,2024-07-02,사가정로,래미안크레시티,59.99,9

201,1167000000,2018,서울특별시 동대문구  전농동 695 ,2024-07-03,답십리로23길,동대문롯데캐슬노블레스,59.98,13

